Date,Close
2015-01-02,"141,61"
2015-01-05,140
2015-01-06,"141,85"
2015-01-07,"144,32"
2015-01-08,"145,56"
2015-01-09,"143,32"
2015-01-12,"142,52"
2015-01-13,"141,09"
2015-01-14,"139,31"
2015-01-15,"139,31"
2015-01-16,"139,72"
2015-01-20,"139,38"
2015-01-21,"139,14"
2015-01-22,"141,27"
2015-01-23,"142,05"
2015-01-26,"142,91"
2015-01-27,"140,99"
2015-01-28,"139,62"
2015-01-29,"140,64"
2015-01-30,"142,99"
2015-02-02,146
2015-02-03,"153,75"
2015-02-04,"155,92"
2015-02-05,"149,09"
2015-02-06,"148,7"
2015-02-09,"147,54"
2015-02-10,"148,22"
2015-02-11,"147,46"
2015-02-12,"147,76"
2015-02-13,"147,1"
2015-02-17,"147,53"
2015-02-18,"147,23"
2015-02-19,"146,67"
2015-02-20,"147,54"
2015-02-23,"148,39"
2015-02-24,"148,21"
2015-02-25,"147,48"
2015-02-26,"146,65"
2015-02-27,"146,96"
2015-03-02,"147,94"
2015-03-03,"147,37"
2015-03-04,"147,17"
2015-03-05,"151,17"
2015-03-06,"149,54"
2015-03-09,"150,68"
2015-03-10,"148,16"
2015-03-11,"147,4"
2015-03-12,"149,44"
2015-03-13,"149,28"
2015-03-16,"149,99"
2015-03-17,"150,03"
2015-03-18,"150,93"
2015-03-19,"151,31"
2015-03-20,"152,59"
2015-03-23,"152,93"
2015-03-24,"153,14"
2015-03-25,"151,09"
2015-03-26,"150,06"
2015-03-27,"150,47"
2015-03-30,"152,37"
2015-03-31,"151,5"
2015-04-01,"150,24"
2015-04-02,"151,63"
2015-04-06,"152,5"
2015-04-07,"151,78"
2015-04-08,152
2015-04-09,"148,81"
2015-04-10,"149,64"
2015-04-13,"149,02"
2015-04-14,"149,52"
2015-04-15,"149,07"
2015-04-16,"147,11"
2015-04-17,"144,57"
2015-04-20,"146,31"
2015-04-21,"147,34"
2015-04-22,"146,98"
2015-04-23,"147,3"
2015-04-24,"148,12"
2015-04-27,"146,96"
2015-04-28,"146,61"
2015-04-29,"144,46"
2015-04-30,"143,05"
2015-05-01,"145,39"
2015-05-04,"145,75"
2015-05-05,"144,5"
2015-05-06,"144,77"
2015-05-07,"144,56"
2015-05-08,"145,88"
